brand_Ford,brand_Volkswagen,car_age,brand_Toyota,usage_intensity,owner,brand_Other,brand_Honda,mileage_power_interaction,engine,mileage,transmission_Manual,km_per_year,brand_Nissan,km_driven,max_power,seller_type_Trustmark Dealer,brand_Hyundai,brand_Renault,fuel_Diesel,brand_Maruti,fuel_Petrol,age_km_interaction,brand_Tata,fuel_LPG,specific_power,seller_type_Individual,selling_price
0,0,-0.6250723853001153,0,2,1,0,0,1.3946212449427182,0.13868228579781053,1.0958981214128618,1.0,0.6391401009920714,0,0.0949490394288917,0.6741983765171796,0.0,0,0,1.0,1,0.0,-0.31658148791230745,0,0.0,0.9271623193427204,1.0,745000
0,0,-1.412986988563182,0,1,1,0,0,1.3946212449427182,0.13868228579781053,1.0958981214128618,0.0,-1.3142200879843013,0,-1.4403924151772216,0.6741983765171796,0.0,0,0,1.0,1,0.0,-1.2084778088690245,0,0.0,0.9271623193427204,1.0,1025000
0,0,0.6881186201383291,0,1,2,0,0,-0.023229557534695498,-0.10678113970252108,-0.15423082104702684,1.0,-0.47251802893045863,0,-0.1603030727250756,0.06788368206145157,0.0,1,0,0.0,0,1.0,0.011493879754377751,0,0.0,0.263245589722156,1.0,235000
0,0,-0.6250723853001153,0,2,1,0,0,0.650058449648953,0.13868228579781053,1.381460570198115,1.0,0.6391401009920714,0,0.0949490394288917,-0.24158944323366016,0.0,0,0,1.0,1,0.0,-0.31658148791230745,0,0.0,-0.6160019726583185,1.0,630000
0,0,0.16284221796295137,0,2,2,0,0,0.20657782757021717,0.13868228579781053,0.651689867746911,1.0,1.3465589109427725,0,1.3712096001987282,-0.24158944323366016,0.0,0,0,1.0,1,0.0,0.948852073087764,0,0.0,-0.6160019726583185,1.0,450000
0,0,2.7892242288398403,0,1,1,0,0,-0.05115945640697511,0.13868228579781053,-0.4271016054418246,1.0,-0.8239306195877871,0,0.0949490394288917,0.2529359794317932,0.0,0,0,1.0,0,0.0,1.1050784386433283,1,0.0,0.2173067450222447,1.0,50000
0,1,0.16284221796295137,0,2,1,0,0,1.3357180549150331,1.8232352058981254,-0.09711833128997621,1.0,2.6729691796003365,0,2.647470160968565,1.6278808646715022,0.0,0,0,1.0,0,0.0,1.8862102664211502,0,0.0,0.1193037247705882,1.0,450000
1,0,-0.3624341842124264,0,2,1,0,0,1.6404489115325112,1.3419343715837497,0.6104419584779303,1.0,1.0282204464649571,0,0.6054532637368263,1.3114603835024194,0.0,0,0,1.0,0,0.0,0.10522969908771637,0,0.0,0.24991489136645223,1.0,610000
0,0,-0.8877105863878042,0,1,1,0,0,-0.17378367236259876,-1.0645697999881287,0.7151481896991905,1.0,-1.4389026532381124,0,-1.4365636334949121,-0.6811675967140629,0.0,0,0,0.0,1,1.0,-1.1758264984679114,0,0.0,0.43053875766818206,0.0,484999
0,0,-0.6250723853001153,0,2,1,1,0,-0.88599218513961,-0.10196813135937732,-0.5794015781272934,1.0,-0.10364964945616448,0,-0.44108039609443966,-0.6805360189073387,0.0,0,0,0.0,0,1.0,-0.6118493188123241,0,0.0,-1.057835023299975,0.0,275000
